Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%),IKP,IKP Ranking,
jawa barat - kota cimahi,6,0.00,5.11,11.12,0.09,13.73,10.98,0.01,74.50,16.40,87.17,34,
jawa barat - kota tasikmalaya,6,0.00,12.72,33.01,0.00,20.62,9.63,0.06,72.63,22.40,72.71,86,
jawa barat - kota banjar,6,0.00,6.73,35.18,0.00,9.79,9.08,0.12,71.49,19.30,79.55,69,
jawa tengah - cilacap,6,0.47,11.02,28.87,0.07,29.06,7.41,0.56,74.07,17.60,84.13,76,
jawa tengah - banyumas,6,1.13,12.84,27.45,0.00,30.20,8.08,0.22,73.88,16.60,79.81,164,
jawa tengah - purbalingga,6,1.04,15.30,25.35,0.00,29.90,7.73,0.31,73.28,26.80,78.05,189,
jawa tengah - banjarnegara,6,0.98,15.20,25.84,0.00,21.95,7.17,0.51,74.37,22.20,80.28,155,
jawa tengah - kebumen,6,0.58,16.41,25.33,0.04,36.29,8.04,0.34,73.70,22.10,80.34,153,
jawa tengah - purworejo,6,0.51,11.53,24.16,0.03,27.94,8.25,0.48,75.03,21.30,84.74,64,
jawa tengah - wonosobo,6,1.15,16.17,25.78,0.00,21.89,7.14,0.61,72.05,22.70,77.82,195,
jawa tengah - magelang,6,1.21,11.09,20.99,0.00,24.33,7.84,0.51,74.03,28.20,79.91,161,
jawa tengah - boyolali,6,0.51,9.82,20.85,0.00,20.46,8.05,0.39,76.12,20.00,87.31,24,
jawa tengah - klaten,6,0.63,12.33,22.50,0.00,28.58,9.20,0.17,76.95,18.20,85.50,48,
jawa tengah - sukoharjo,6,0.54,7.61,13.57,0.00,14.31,9.74,0.12,77.82,19.80,91.02,3,
jawa tengah - wonogiri,6,0.20,10.99,30.13,0.00,22.15,7.60,0.70,76.41,18.00,87.79,16,
jawa tengah - karanganyar,6,0.57,9.85,17.65,0.00,17.11,8.87,0.36,77.64,22.30,88.48,9,
jawa tengah - sragen,6,0.28,12.94,25.75,0.00,9.05,7.81,0.29,75.87,24.30,88.17,11,
jawa tengah - grobogan,6,0.25,11.80,40.92,0.00,10.64,7.41,0.54,74.93,19.30,87.18,27,
jawa tengah - blora,6,0.25,11.53,34.87,0.16,9.42,7.22,0.85,74.60,25.80,86.94,28,
jawa tengah - rembang,6,0.42,14.65,37.79,0.00,13.18,7.64,0.54,74.68,24.30,84.45,69,
jawa tengah - pati,6,0.22,9.33,23.13,0.04,17.10,8.04,0.39,76.32,23.00,89.27,6,
jawa tengah - kudus,6,0.74,7.41,16.31,0.00,15.35,9.16,0.13,76.76,19.00,88.91,8,
jawa tengah - jepara,6,0.60,6.88,23.81,0.00,26.70,8.38,0.36,75.97,18.20,86.91,29,
jawa tengah - demak,6,0.35,12.09,30.09,0.00,7.13,8.31,0.40,75.52,16.20,89.03,7,
jawa tengah - semarang,6,1.04,7.27,20.37,0.00,19.01,8.21,0.40,75.86,18.70,85.35,52,
jawa tengah - temanggung,6,1.99,9.33,14.26,0.00,18.70,7.79,0.42,75.70,28.90,77.84,193,
jawa tengah - kendal,6,0.74,9.48,22.41,0.14,19.44,8.01,0.35,74.53,17.50,85.58,44,
jawa tengah - batang,6,0.86,8.98,21.30,0.00,25.44,7.21,0.47,74.79,23.50,83.15,95,
jawa tengah - pekalongan,6,1.07,9.67,25.90,0.00,21.06,7.77,0.41,73.80,23.50,81.81,123,
jawa tengah - pemalang,6,0.67,15.06,41.13,0.00,21.21,6.74,0.41,73.65,19.80,80.84,144,
jawa tengah - tegal,6,0.76,7.90,24.63,0.00,26.12,7.56,0.28,71.85,22.30,82.84,105,
jawa tengah - brebes,6,0.73,16.05,30.08,0.04,27.43,6.61,0.45,69.74,29.10,77.21,205,
jawa tengah - kota magelang,6,0.00,7.10,11.66,0.00,3.96,10.91,0.01,77.02,13.90,91.18,10,
jawa tengah - kota surakarta,6,0.00,8.84,11.42,0.00,14.38,10.72,0.01,77.43,16.20,85.80,39,
jawa tengah - kota salatiga,6,0.00,4.73,2.96,0.00,3.54,11.38,0.03,77.72,14.20,94.20,2,
jawa tengah - kota semarang,6,0.00,4.25,7.56,0.00,11.87,10.50,0.03,77.69,10.40,91.31,9,
jawa tengah - kota pekalongan,6,0.00,7.00,22.35,0.00,20.97,9.31,0.03,74.51,23.10,78.94,72,
jawa tengah - kota tegal,6,0.00,7.91,15.61,0.00,0.88,9.48,0.02,74.64,16.80,86.00,38,
di yogyakarta - kulon progo,6,0.61,16.39,15.81,0.00,20.47,9.32,0.34,75.28,15.80,85.54,46,
di yogyakarta - bantul,6,1.42,12.27,16.44,0.14,18.52,9.78,0.14,73.90,14.90,82.07,116,
di yogyakarta - gunungkidul,6,0.19,15.86,31.39,0.00,37.55,7.51,0.80,74.23,23.50,81.98,119,
di yogyakarta - sleman,6,1.74,7.74,12.12,0.00,16.83,10.91,0.06,75.00,15.00,83.16,94,
di yogyakarta - kota yogyakarta,6,0.00,6.62,6.96,0.00,31.04,11.82,0.01,74.83,13.80,83.11,54,
jawa timur - pacitan,6,0.55,13.80,34.65,0.06,32.98,8.00,1.01,72.48,20.60,80.78,145,
jawa timur - ponorogo,6,0.32,9.32,27.52,0.22,17.37,7.99,0.50,73.20,14.20,87.91,14,
jawa timur - trenggalek,6,0.58,10.96,32.08,0.00,38.88,8.03,0.70,74.26,19.50,81.90,121,
jawa timur - tulungagung,6,0.58,6.71,31.97,0.05,32.44,8.82,0.30,74.54,17.30,85.23,59,
